package_id,flight_id,stop_id,departure_city,departure_airport_code,departure_date,departure_time,arrival_airport_code,arrival_city,arrival_date,arrival_time,flight_duration_formatted,flight_duration_minutes,layover,layover_duration_formatted,layover_duration_minutes
1,1,1,Sydney,SYD,10/10/2026,12:45,HND,Tokyo,10/10/2026,20:35,9:50,590,FALSE,,
1,2,1,Tokyo,HND,23/10/2026,8:30,SYD,Sydney,23/10/2026,20:10,9:40,580,FALSE,,
